Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Clarence Childs,1914,1915,Indiana,2,14,6,7,1,0.464,0,0,0,0,
Eddie Chinske,1952,1954,Montana,3,27,8,18,1,0.315,0,0,0,0,
Ron Chismar,1984,1986,Wichita State,3,33,8,25,0,0.242,0,0,0,0,
Gene Chizik,2007,2012,Auburn,6,76,38,38,0,0.5,3,3,0,0,1
Ed Chlebek,1976,1982,Kent State,7,77,26,51,0,0.338,0,0,0,0,
Norm Chow,2012,2015,Hawaii,4,46,10,36,0,0.217,0,0,0,0,
Dave Christensen,2009,2013,Wyoming,5,62,27,35,0,0.435,2,1,1,0,0.5
Jack Christiansen,1972,1976,Stanford,5,55,30,22,3,0.573,0,0,0,0,
Paul Chryst,2012,2019,Wisconsin,8,106,71,35,0,0.67,7,5,2,0,0.714
Bill Church,1897,1897,Purdue,1,9,5,3,1,0.611,0,0,0,0,
E.M. Church,1895,1895,Union (NY),1,5,0,5,0,0,0,0,0,0,
Frank Cignetti,1976,1979,West Virginia,4,44,17,27,0,0.386,0,0,0,0,
Craig Cirbus,1999,2000,Buffalo,2,22,2,20,0,0.091,0,0,0,0,
Tracy Claeys,2015,2016,Minnesota,2,19,11,8,0,0.579,2,2,0,0,1
Jerry Claiborne,1961,1989,Kentucky,28,309,179,122,8,0.592,11,3,8,0,0.273
Bert Clark,1964,1967,Washington State,4,40,15,24,1,0.388,0,0,0,0,
Bill Clark,2014,2019,Alabama-Birmingham,4,53,34,19,0,0.642,3,1,2,0,0.333
Click Clark,1924,1925,Montana,2,16,7,8,1,0.469,0,0,0,0,
Don Clark,1957,1959,Southern California,3,30,13,16,1,0.45,0,0,0,0,
Dutch Clark,1951,1953,Detroit Mercy,3,30,13,17,0,0.433,0,0,0,0,
Heck Clark,1931,1939,Sewanee,9,80,21,56,3,0.281,0,0,0,0,
Potsy Clark,1921,1948,Nebraska,7,58,22,30,6,0.431,0,0,0,0,
Shawn Clark,2019,2019,Appalachian State,1,1,1,0,0,1,1,1,0,0,1
Stewart Clark,1928,1929,Western State,2,14,2,12,0,0.143,0,0,0,0,
Dick Clausen,1956,1957,New Mexico,2,20,8,12,0,0.4,0,0,0,0,
Dave Clawson,2009,2019,Wake Forest,11,140,68,72,0,0.486,7,3,4,0,0.429
Zora Clevenger,1911,1919,Kansas State,9,73,45,24,4,0.644,0,0,0,0,
John Coatta,1967,1969,Wisconsin,3,30,3,26,1,0.117,0,0,0,0,
L.A. Cobbett,1918,1918,Lafayette,1,7,3,4,0,0.429,0,0,0,0,
Eddie Cochems,1905,1908,Saint Louis,3,26,16,7,3,0.673,0,0,0,0,
Garrett Cochran,1900,1902,Princeton,2,18,14,4,0,0.778,0,0,0,0,
Tom Cochrane,1894,1894,Minnesota,1,4,3,1,0,0.75,0,0,0,0,
George Cockill,1914,1914,Bucknell,1,9,4,4,1,0.5,0,0,0,0,
Josh Cody,1927,1939,Florida,8,84,46,35,3,0.565,0,0,0,0,
Stanley Cofall,1928,1928,Wake Forest,1,10,2,6,2,0.3,0,0,0,0,
Charles Coffey,1971,1973,Virginia Tech,3,33,12,20,1,0.379,0,0,0,0,
Russ Cohen,1928,1931,Louisiana State,4,37,23,13,1,0.635,0,0,0,0,
Larry Coker,2001,2015,Texas-San Antonio,10,123,82,41,0,0.667,6,4,2,0,0.667
George Cole,1942,1942,Arkansas,1,10,3,7,0,0.3,0,0,0,0,
King Cole,1907,1910,Nebraska,4,36,25,8,3,0.736,0,0,0,0,
William Cole,1905,1905,Virginia,1,9,5,4,0,0.556,0,0,0,0,
Harris Coleman,1919,1919,Virginia,1,9,2,5,2,0.333,0,0,0,0,
Joe Coleman,1951,1952,New Mexico State,2,19,3,15,1,0.184,0,0,0,0,
Jim Colletto,1975,1996,Purdue,11,122,37,81,4,0.32,0,0,0,0,
Blanton Collier,1954,1961,Kentucky,8,80,41,36,3,0.531,0,0,0,0,
Ben Collins,1957,1961,Texas-El Paso,5,48,18,29,1,0.385,0,0,0,0,
Bobby Collins,1975,1986,Southern Methodist,12,138,89,46,3,0.656,5,3,2,0,0.6
Chuck Collins,1926,1933,North Carolina,8,78,38,31,9,0.545,0,0,0,0,
Geoff Collins,2017,2019,Georgia Tech,3,37,18,19,0,0.486,1,1,0,0,1
Mike Collins,2002,2002,Louisiana-Monroe,1,9,3,6,0,0.333,0,0,0,0,
Pat Collins,1981,1981,Louisiana-Monroe,1,11,5,6,0,0.455,0,0,0,0,
Richard Colman,1957,1968,Princeton,12,108,75,33,0,0.694,0,0,0,0,
Bob Commings,1974,1978,Iowa,5,55,17,38,0,0.309,0,0,0,0,
Maurice Connor,1899,1902,Holy Cross,4,38,23,12,3,0.645,0,0,0,0,
Al Conover,1972,1975,Rice,4,44,14,28,2,0.341,0,0,0,0,
Boyd Converse,1967,1967,Wichita State,1,10,2,7,1,0.25,0,0,0,0,
Jimmy Conzelman,1932,1939,Washington (MO),8,77,40,35,2,0.532,0,0,0,0,
W.T. Cook,1912,1913,Davidson,2,14,5,9,0,0.357,0,0,0,0,
M.T. Cooke,1908,1908,Virginia,1,8,7,0,1,0.938,0,0,0,0,
Mike Cooley,1963,1964,Lehigh,2,18,2,15,1,0.139,0,0,0,0,
George Cooper,1923,1927,Northern Colorado,5,41,14,25,2,0.366,0,0,0,0,
John Cooper,1977,2000,Ohio State,24,282,192,84,6,0.691,14,5,9,0,0.357
Ken Cooper,1974,1977,Mississippi,4,44,19,25,0,0.432,0,0,0,0,
Ron Cooper,1993,2016,Florida International,6,63,26,37,0,0.413,0,0,0,0,
Bob Cope,1983,1988,Pacific,6,68,22,46,0,0.324,0,0,0,0,
Harris Cope,1909,1923,Samford,10,88,48,28,12,0.614,0,0,0,0,
John Corbett,1915,1923,Wyoming,8,62,15,44,3,0.266,0,0,0,0,
Pete Cordelli,1991,1993,Kent State,3,33,3,30,0,0.091,0,0,0,0,
Vaughn Corley,1948,1950,New Mexico State,3,29,9,20,0,0.31,0,0,0,0,
Jim Corrigall,1994,1997,Kent State,4,44,8,35,1,0.193,0,0,0,0,
Lee Corso,1969,1984,Northern Illinois,15,164,73,85,6,0.463,2,1,0,1,0.75
Gene Corum,1960,1965,West Virginia,6,61,29,30,2,0.492,1,0,1,0,0
Don Coryell,1969,1972,San Diego State,4,44,36,8,0,0.818,1,1,0,0,1
J.H. Costello,1907,1907,Bucknell,1,11,4,7,0,0.364,0,0,0,0,
Sam Costen,1909,1910,Citadel,2,16,7,7,2,0.5,0,0,0,0,
Barney Cotton,2014,2014,Nebraska,1,1,0,1,0,0,1,0,1,0,0
Tom Coughlin,1991,1993,Boston College,3,35,21,13,1,0.614,2,1,1,0,0.5
James Coulter,1909,1909,Georgia,1,7,1,4,2,0.286,0,0,0,0,
John Counselman,1907,1907,Samford,1,7,2,5,0,0.286,0,0,0,0,
William Courtright,1924,1926,Colorado Mines,3,25,7,17,1,0.3,0,0,0,0,
Steve Coutchie,1946,1946,Arizona State,1,11,2,7,2,0.273,0,0,0,0,
Charlie Cowdrey,1977,1980,Illinois State,4,44,12,31,1,0.284,0,0,0,0,
Roland Cowell,1922,1923,Mississippi,2,20,8,11,1,0.425,0,0,0,0,
Ted Cox,1932,1938,Oklahoma State,7,70,35,33,2,0.514,1,1,0,0,1
Carmen Cozza,1965,1981,Yale,17,155,114,38,3,0.745,0,0,0,0,
Tom Craft,2002,2005,San Diego State,4,48,19,29,0,0.396,0,0,0,0,
J.B. Craig,1919,1919,Arkansas,1,7,3,4,0,0.429,0,0,0,0,
Walter Craig,1905,1905,Massachusetts,1,10,3,7,0,0.3,0,0,0,0,
Joshua Crane,1907,1907,Harvard,1,10,7,3,0,0.7,0,0,0,0,
John Cranston,1903,1903,Harvard,1,12,9,3,0,0.75,0,0,0,0,
Jeff Cravath,1929,1950,Southern California,13,126,74,43,9,0.623,4,2,2,0,0.5
Cap Craver,1904,1904,Dickinson,1,12,8,3,1,0.708,0,0,0,0,
Charles Crawford,1910,1910,Virginia,1,8,6,2,0,0.75,0,0,0,0,
Frank Crawford,1892,1892,Wisconsin,1,7,4,3,0,0.571,0,0,0,0,
S.D. Crawford,1904,1904,Tennessee,1,9,3,5,1,0.389,0,0,0,0,
Pete Crayton,1919,1919,Davidson,1,11,4,6,1,0.409,0,0,0,0,
Chris Creighton,2014,2019,Eastern Michigan,6,75,28,47,0,0.373,3,0,3,0,0
Bernie Crimmins,1952,1956,Indiana,5,45,13,32,0,0.289,0,0,0,0,
Jim Criner,1983,1986,Iowa State,4,42,16,24,2,0.405,0,0,0,0,
Fritz Crisler,1930,1947,Michigan,18,157,116,32,9,0.768,1,1,0,0,1
Mario Cristobal,2007,2019,Oregon,9,102,48,54,0,0.471,5,3,2,0,0.6
Jack Croft,1936,1937,Montana State,2,16,6,9,1,0.406,0,0,0,0,
Frederick Crolius,1899,1911,Villanova,8,59,13,42,4,0.254,0,0,0,0,
C.E. Cronk,1904,1904,Texas Christian,1,6,1,4,1,0.25,0,0,0,0,
Harold Crook,1907,1907,Hamilton,1,5,1,4,0,0.2,0,0,0,0,
Thomas Crooks,1910,1910,Dickinson,1,10,3,7,0,0.3,0,0,0,0,
Sylvester Croom,2004,2008,Mississippi State,5,59,21,38,0,0.356,1,1,0,0,1
David Cropp,1903,1904,Colorado,2,19,14,4,1,0.763,0,0,0,0,
John Crouthamel,1971,1977,Dartmouth,7,63,41,20,2,0.667,0,0,0,0,
John David Crow,1976,1980,Louisiana-Monroe,5,55,20,34,1,0.373,0,0,0,0,
Eddie Crowder,1963,1973,Colorado,11,118,67,49,2,0.576,5,3,2,0,0.6
Clem Crowe,1935,1945,Iowa,2,18,8,10,0,0.444,0,0,0,0,
Jack Crowe,1990,1992,Arkansas,3,24,9,15,0,0.375,1,0,1,0,0
Wilmer Crowell,1914,1916,Lafayette,3,30,15,12,3,0.55,0,0,0,0,
Charles Crowley,1925,1929,Columbia,5,46,26,16,4,0.609,0,0,0,0,
Jimmy Crowley,1929,1942,North Carolina Pre-Flight,14,120,86,23,11,0.763,2,1,1,0,0.5
Gary Crowton,1996,2004,Brigham Young,7,83,47,36,0,0.566,1,0,1,0,0
Dick Crum,1974,1990,Kent State,17,194,113,77,4,0.593,8,6,2,0,0.75
B.C. Cubbage,1921,1925,Virginia Tech,5,48,30,12,6,0.688,0,0,0,0,
Bill Cubit,2005,2015,Illinois,9,110,56,54,0,0.509,3,0,3,0,0
Pat Culpepper,1976,1979,Northern Illinois,4,44,14,29,1,0.33,0,0,0,0,
Alvin Culver,1895,1896,Northwestern,2,20,12,6,2,0.65,0,0,0,0,
Bill Cunningham,1921,1921,Southern Methodist,1,8,1,6,1,0.188,0,0,0,0,
Logan Cunningham,1912,1912,Princeton,1,9,7,1,1,0.833,0,0,0,0,
W.A. Cunningham,1910,1919,Georgia,8,70,43,18,9,0.679,0,0,0,0,
Fran Curci,1971,1981,Kentucky,11,122,55,65,2,0.459,1,1,0,0,1
Babe Curfman,1951,1953,Idaho,3,27,7,19,1,0.278,0,0,0,0,
Raymond Curfman,1946,1947,New Mexico State,2,19,8,11,0,0.421,0,0,0,0,
Dave Currey,1977,1988,Cincinnati,12,131,59,72,0,0.45,0,0,0,0,
Bill Curry,1980,1996,Kentucky,17,192,83,105,4,0.443,5,2,3,0,0.4
Jack Curtice,1941,1969,California-Santa Barbara,19,191,97,87,7,0.526,2,1,1,0,0.5
Arthur Curtis,1902,1904,Wisconsin,3,28,17,10,1,0.625,0,0,0,0,
Joe Curtis,1907,1908,Tulane,2,13,10,3,0,0.769,0,0,0,0,
Phil Cutchin,1963,1968,Oklahoma State,6,59,19,38,2,0.339,0,0,0,0,
David Cutcliffe,1998,2019,Duke,19,224,116,108,0,0.518,11,7,4,0,0.636
Oliver Cutts,1903,1904,Purdue,2,18,13,5,0,0.722,0,0,0,0,
Virginius Dabney,1902,1902,Tulane,1,7,1,4,2,0.286,0,0,0,0,
John DaGrosa,1945,1947,Holy Cross,3,29,17,10,2,0.621,1,0,1,0,0
Charles Daly,1913,1922,Army,6,55,45,7,3,0.845,0,0,0,0,
Milton Daniel,1916,1917,Texas Christian,2,19,14,4,1,0.763,0,0,0,0,
Edward Danowski,1946,1954,Fordham,9,76,29,44,3,0.401,0,0,0,0,
Mark Dantonio,2004,2019,Michigan State,16,206,132,74,0,0.641,12,7,5,0,0.583
Gary Darnell,1989,2004,Western Michigan,9,99,49,50,0,0.495,1,0,1,0,0
Paul Dashiell,1904,1906,Navy,3,34,25,5,4,0.794,0,0,0,0,
Ray Dauber,1931,1932,Mississippi State,2,16,5,11,0,0.313,0,0,0,0,
Duffy Daugherty,1954,1972,Michigan State,19,183,109,69,5,0.609,2,1,1,0,0.5
Bill Davidson,1974,1978,Arkansas State,5,54,37,17,0,0.685,0,0,0,0,
Gar Davidson,1933,1937,Army,5,47,35,11,1,0.755,0,0,0,0,
Bob Davie,1997,2019,New Mexico,13,159,70,89,0,0.44,5,1,4,0,0.2
Bud Davis,1962,1962,Colorado,1,10,2,8,0,0.2,0,0,0,0,
Butch Davis,1995,2019,Florida International,13,161,102,59,0,0.634,10,6,4,0,0.6
Greg Davis,1988,1991,Tulane,4,45,14,31,0,0.311,0,0,0,0,
Parke Davis,1893,1897,Lafayette,5,51,37,11,3,0.755,0,0,0,0,
Paul Davis,1962,1966,Mississippi State,5,50,20,28,2,0.42,1,1,0,0,1
Paul Davis,1908,1914,Oklahoma State,2,18,11,6,1,0.639,0,0,0,0,
Robert Davis,1947,1955,Colorado State,9,89,54,33,2,0.618,1,0,1,0,0
Fred Dawson,1921,1933,Virginia,11,92,45,40,7,0.527,0,0,0,0,
Red Dawson,1936,1954,Pittsburgh,9,80,45,30,5,0.594,1,0,1,0,0
Leroy Day,1932,1934,Washington & Jefferson,3,28,11,15,2,0.429,0,0,0,0,
Ryan Day,2018,2019,Ohio State,2,17,16,1,0,0.941,1,0,1,0,0
H.I. Dean,1909,1911,Wyoming,3,24,11,12,1,0.479,0,0,0,0,
Fisher DeBerry,1984,2006,Air Force,23,279,169,109,1,0.608,12,6,6,0,0.5
Mike DeBord,2000,2003,Central Michigan,4,46,12,34,0,0.261,0,0,0,0,
Quinn Decker,1946,1952,Citadel,7,63,23,39,1,0.373,0,0,0,0,
Dudley DeGroot,1948,1952,New Mexico,5,53,26,26,1,0.5,1,1,0,0,1
Jimmy DeHart,1922,1932,Duke,11,107,51,50,6,0.505,0,0,0,0,
Bob Deming,1969,1970,Buffalo,2,20,8,12,0,0.4,0,0,0,0,
Bob DeMoss,1970,1972,Purdue,3,31,13,18,0,0.419,0,0,0,0,
Rey Dempsey,1976,1985,Memphis,10,113,61,49,3,0.553,0,0,0,0,
Mick Dennehy,2000,2004,Utah State,5,56,19,37,0,0.339,0,0,0,0,
Jim Dennison,1975,1975,Akron,1,11,7,4,0,0.636,0,0,0,0,
Carl DePasqua,1969,1972,Pittsburgh,4,42,13,29,0,0.31,0,0,0,0,
J.D. DePree,1905,1906,Tennessee,2,18,4,11,3,0.306,0,0,0,0,
Herb Deromedi,1978,1993,Central Michigan,16,175,110,55,10,0.657,1,0,1,0,0
Tim DeRuyter,2011,2016,Fresno State,6,61,31,30,0,0.508,4,1,3,0,0.25
John DeSaulles,1902,1902,Virginia,1,10,8,1,1,0.85,0,0,0,0,
Leo DeTray,1912,1912,Mississippi,1,7,4,3,0,0.571,0,0,0,0,
Bob Devaney,1957,1972,Nebraska,16,173,136,30,7,0.806,10,7,3,0,0.7
Dan Devine,1955,1980,Notre Dame,22,238,172,57,9,0.742,10,7,3,0,0.7
Hugh Devore,1945,1963,New York University,5,42,13,26,3,0.345,0,0,0,0,
Vince Di Francesca,1954,1956,Iowa State,3,28,6,21,1,0.232,0,0,0,0,
Bob Diaco,2014,2016,Connecticut,3,37,11,26,0,0.297,1,0,1,0,0
Manny Diaz,2019,2019,Miami (FL),1,13,6,7,0,0.462,1,0,1,0,0
Phil Dickens,1953,1964,Indiana,11,104,49,52,3,0.486,1,1,0,0,1
George Dickerson,1958,1958,UCLA,1,3,1,2,0,0.333,0,0,0,0,
Ron Dickerson,1993,1997,Temple,5,55,8,47,0,0.145,0,0,0,0,
Darrell Dickey,1998,2015,Memphis,10,107,42,65,0,0.393,5,1,4,0,0.2
Doug Dickey,1964,1978,Florida,15,168,104,58,6,0.637,9,2,7,0,0.222
Jim Dickey,1978,1985,Kansas State,8,80,24,54,2,0.313,1,0,1,0,0
Marvin Dickinson,1903,1905,Georgia,2,13,4,9,0,0.308,0,0,0,0,
By Dickson,1910,1913,Bucknell,4,38,20,16,2,0.553,0,0,0,0,
Reed Dickson,1906,1907,Maryville (TN),2,13,3,8,2,0.308,0,0,0,0,
G.O. Dietz,1902,1902,Drake,1,8,5,2,1,0.688,0,0,0,0,
William Dietz,1917,1926,Wyoming,5,39,17,19,3,0.474,0,0,0,0,
Paul Dietzel,1955,1974,South Carolina,20,209,109,95,5,0.533,4,2,2,0,0.5
Dana Dimel,1997,2019,Texas-El Paso,8,93,32,61,0,0.344,0,0,0,0,
Gerry DiNardo,1991,2004,Indiana,12,137,59,77,1,0.434,3,3,0,0,1
Bill Doba,2003,2007,Washington State,5,59,30,29,0,0.508,1,1,0,0,1
Glenn Dobbs,1961,1968,Tulsa,8,82,45,37,0,0.549,2,1,1,0,0.5
Robert Dobbs,1955,1972,Texas-El Paso,14,138,71,63,4,0.529,2,2,0,0,1
Gilmour Dobie,1916,1938,Boston College,22,170,115,44,11,0.709,0,0,0,0,
Frank Dobson,1910,1939,Maryland,15,127,58,62,7,0.484,0,0,0,0,
Rex Dockery,1978,1983,Memphis,6,66,23,40,3,0.371,0,0,0,0,
Bobby Dodd,1945,1966,Georgia Tech,22,237,165,64,8,0.713,13,9,4,0,0.692
Todd Dodge,2007,2010,North Texas,4,43,6,37,0,0.14,0,0,0,0,
Dave Doeren,2011,2019,North Carolina State,9,116,70,46,0,0.603,6,4,2,0,0.667
Edward Doherty,1947,1975,Holy Cross,14,145,64,78,3,0.452,2,0,2,0,0
Jack Doland,1975,1978,McNeese State,4,45,29,15,1,0.656,1,1,0,0,1
Bill Dole,1952,1953,Davidson,2,18,2,16,0,0.111,0,0,0,0,
Frank Dole,1885,1887,Pennsylvania,3,43,23,19,1,0.547,0,0,0,0,
Edward Donahue,1917,1920,Clemson,4,36,21,12,3,0.625,0,0,0,0,
Mike Donahue,1904,1927,Louisiana State,23,184,122,54,8,0.685,0,0,0,0,
Terry Donahue,1976,1995,UCLA,20,233,151,74,8,0.665,13,8,4,1,0.654
Aldo Donelli,1939,1967,Columbia,23,202,91,104,7,0.468,0,0,0,0,
Ray Donels,1941,1942,Iowa State,2,12,3,8,1,0.292,0,0,0,0,
Jim Donnan,1996,2000,Georgia,5,59,40,19,0,0.678,4,4,0,0,1
James Donnelly,1910,1910,Samford,1,8,1,7,0,0.125,0,0,0,0,
Pooch Donovan,1918,1918,Harvard,1,3,2,1,0,0.667,0,0,0,0,
Bill Dooley,1967,1992,Wake Forest,26,293,161,127,5,0.558,10,3,7,0,0.3
Derek Dooley,2007,2012,Tennessee,6,73,32,41,0,0.438,2,1,1,0,0.5
Vince Dooley,1964,1988,Georgia,25,288,201,77,10,0.715,20,8,10,2,0.45
Bill Doolittle,1964,1974,Western Michigan,11,109,58,49,2,0.541,0,0,0,0,
Ray Door,1984,1985,Southern Illinois,2,22,7,15,0,0.318,0,0,0,0,
Gus Dorais,1922,1942,Detroit Mercy,19,171,119,44,8,0.719,1,0,1,0,0
Karl Dorrell,2003,2007,UCLA,5,62,35,27,0,0.565,4,1,3,0,0.25
Otis Douglas,1950,1952,Arkansas,3,30,9,21,0,0.3,0,0,0,0,
H.L. Dowd,1913,1913,Washington & Lee,1,9,8,1,0,0.889,0,0,0,0,
Ron Dowhower,1979,1996,Vanderbilt,3,33,9,23,1,0.288,0,0,0,0,
Tommy Dowler,1935,1935,William & Mary,1,10,3,4,3,0.45,0,0,0,0,
E.S. Dowling,1910,1910,Carnegie Mellon,1,8,1,6,1,0.188,0,0,0,0,
Dexter Draper,1909,1909,Texas,1,8,4,3,1,0.563,0,0,0,0,
Red Drew,1924,1954,Alabama,10,107,60,39,8,0.598,3,1,2,0,0.333
Milt Drewer,1957,1963,William & Mary,7,69,21,46,2,0.319,0,0,0,0,
Eli Drinkwitz,2019,2019,Appalachian State,1,13,12,1,0,0.923,0,0,0,0,
Paddy Driscoll,1937,1940,Marquette,4,34,10,23,1,0.309,0,0,0,0,
Bill Driver,1920,1921,Texas Christian,2,20,15,4,1,0.775,1,0,1,0,0
James Driver,1916,1916,Newberry,1,7,5,2,0,0.714,0,0,0,0,
Johnny Druze,1956,1958,Marquette,3,29,2,26,1,0.086,0,0,0,0,
F. Dry,1972,1982,Texas Christian,11,116,43,69,4,0.388,1,0,1,0,0
Mike DuBose,1997,2000,Alabama,4,47,24,23,0,0.511,2,0,2,0,0
Joseph Duff,1913,1914,Pittsburgh,2,18,14,3,1,0.806,0,0,0,0,
Mark Duffner,1992,1996,Maryland,5,55,20,35,0,0.364,0,0,0,0,
Donnie Duncan,1979,1982,Iowa State,4,44,18,24,2,0.432,0,0,0,0,
Mark Duncan,1943,1943,Denver,1,7,2,5,0,0.286,0,0,0,0,
Frederick Dunlap,1965,1981,Colgate,7,71,39,30,2,0.563,0,0,0,0,
John Dunlop,1901,1901,Boston College,1,9,1,8,0,0.111,0,0,0,0,
Eddie Dunn,1944,1944,Miami (FL),1,9,1,7,1,0.167,0,0,0,0,
Joe Lee Dunn,1983,1994,Mississippi,5,58,21,37,0,0.362,0,0,0,0,
Ernie Duplechin,1979,1981,McNeese State,3,35,28,6,1,0.814,2,0,2,0,0
Durkee,1887,1887,Tufts,1,9,3,6,0,0.333,0,0,0,0,
D.J. Durkin,2014,2017,Maryland,3,26,11,15,0,0.423,2,1,1,0,0.5
Pat Dwyer,1911,1913,Louisiana State,3,25,16,7,2,0.68,0,0,0,0,
Schubert Dyche,1928,1935,Montana State,8,63,26,33,4,0.444,0,0,0,0,
Pat Dye,1974,1992,Auburn,19,220,153,62,5,0.707,10,7,2,1,0.75
George Dyer,1896,1896,Army,1,6,3,2,1,0.583,0,0,0,0,
Sonny Dykes,2010,2019,Southern Methodist,9,111,56,55,0,0.505,3,1,2,0,0.333
Spike Dykes,1986,1999,Texas Tech,14,150,82,67,1,0.55,7,2,5,0,0.286
Lloyd Eaton,1962,1970,Wyoming,9,92,57,33,2,0.63,2,1,1,0,0.5
N.B. Edgerton,1912,1915,South Carolina,4,35,19,13,3,0.586,0,0,0,0,
W.P. Edmunds,1913,1916,Washington (MO),4,25,10,13,2,0.44,0,0,0,0,
Randy Edsall,2000,2019,Maryland,19,225,98,127,0,0.436,7,3,4,0,0.429
Bill Edwards,1949,1952,Vanderbilt,4,42,21,19,2,0.524,0,0,0,0,
Earle Edwards,1954,1970,North Carolina State,17,173,77,88,8,0.468,2,1,1,0,0.5
Herman Edwards,2018,2019,Arizona State,2,26,15,11,0,0.577,2,1,1,0,0.5
LaVell Edwards,1972,2000,Brigham Young,29,361,257,101,3,0.716,22,7,14,1,0.341
Jogger Elcock,1914,1921,Oglethorpe,4,35,25,7,3,0.757,0,0,0,0,
William Elias,1960,1968,Navy,9,89,36,48,5,0.433,0,0,0,0,
Ray Eliot,1942,1959,Illinois,18,167,83,73,11,0.53,2,2,0,0,1
Bennie Ellender,1971,1975,Tulane,5,56,27,29,0,0.482,1,0,1,0,0
Rich Ellerson,2009,2013,Army,5,61,20,41,0,0.328,1,1,0,0,1
Bump Elliott,1959,1968,Michigan,10,95,51,42,2,0.547,1,1,0,0,1
Harold Elliott,1974,1981,Texas-Arlington,8,88,38,50,0,0.432,0,0,0,0,
Pete Elliott,1956,1974,Miami (FL),13,129,56,72,1,0.438,2,1,1,0,0.5
Shawn Elliott,2015,2019,Georgia State,4,43,17,26,0,0.395,2,1,1,0,0.5
Speed Elliott,1912,1912,Virginia,1,9,6,3,0,0.667,0,0,0,0,
Frank Ellwood,1975,1978,Marshall,4,44,9,35,0,0.205,0,0,0,0,
David Elson,2007,2009,Western Kentucky,3,36,9,27,0,0.25,0,0,0,0,
Mal Elward,1922,1941,Purdue,7,56,21,29,6,0.429,0,0,0,0,
Jack Elway,1979,1988,Stanford,10,112,60,49,3,0.549,2,0,2,0,0
Jon Embree,2011,2012,Colorado,2,25,4,21,0,0.16,0,0,0,0,
Robert Emmons,1895,1895,Harvard,1,11,8,2,1,0.773,0,0,0,0,
Ed Emory,1980,1984,East Carolina,5,55,26,29,0,0.473,0,0,0,0,
Rip Engle,1944,1965,Penn State,22,208,132,68,8,0.654,4,3,1,0,0.75
Ron English,2009,2013,Eastern Michigan,5,57,11,46,0,0.193,0,0,0,0,
